No,자치구,동,번지,인근지하철역,합계,공공,민간,도로명주소,경도,위도,상태
1,광진구,구의동,587-64,강변역,84,18,66,구의강변로 53,127.09190 ,37.53573 ,정좌표
2,서대문구,충정로 3가,480,충정로역,499,49,450,경기대로 26-26,126.96245 ,37.56141 ,정좌표
3,성동구,용답동,233-1,장한평역,170,22,148,천호대로 416,127.06510 ,37.56099 ,정좌표
4,마포구,서교동,395-43,합정역,1121,199,922,양화로 72,127.55712 ,37.22931 ,정좌표
5,종로구,숭인동,207-32,동묘역,238,31,207,난계로29길 55,127.02017 ,37.57358 ,정좌표
6,강서구,등촌동,648-5,등촌역,285,19,266,공항대로59가길 14,126.86459 ,37.55177 ,정좌표
7,강서구,염창동,274-17,등촌역,520,49,471,공항대로 543,126.86641 ,37.55074 ,정좌표
8,동작구,노량진동,37-1외7,노량진역,273,37,236,노량진로8길 55,126.93857 ,37.51237 ,정좌표
9,동대문구,휘경동,192-1,회기역,99,8,91,망우로21나길 6,127.06071 ,37.59050 ,정좌표
10,용산구,한강로2가,2-350일대,삼각지역,1226,421,805,백범로99길 40,126.97180 ,37.53621 ,정좌표
11,서초구,서초동,1502-12외1,서초역,280,68,212,반포대로27길 13,127.00761 ,37.48969 ,정좌표
12,강서구,화곡동,401-1,화곡역,57,9,48,강서로 145,126.84142 ,37.53990 ,정좌표
13,마포구,창전동,19-8 외1,광흥창역,681,120,561,서강로 75-16,126.93132 ,37.54964 ,정좌표
14,마포구,상수동,355-2,상수역,95,27,68,토정로 131,126.92541 ,37.54541 ,정좌표
15,영등포구,도림동,250-20,도림사거리역,99,18,81,도신로 59,126.89925 ,37.50603 ,정좌표
16,강서구,화곡동,1013-3외4,우장산역,572,87,485,강서로 231,126.83597 ,37.54626 ,정좌표
17,강동구,천호동,458-3외7,천호역,225,50,175,천호대로 989,127.12240 ,37.53946 ,정좌표
18,강서구,등촌동,671-1,발산역,252,53,199,강서로56길 44,126.84110 ,37.55916 ,정좌표
19,중랑구,상봉동,109-34,상봉역,83,6,77,봉우재로 111,127.08528 ,37.59269 ,정좌표
20,강서구,화곡동,1073-11,화곡역,83,6,77,화곡로 146,126.83795 ,37.54069 ,정좌표
21,중랑구,묵동,176-39외3,먹골역,235,24,211,공릉로2길 8-4,127.07825 ,37.61184 ,정좌표
22,광진구,구의동,593-11,강변역,98,28,70,구의강변로 51,127.09178 ,37.53544 ,정좌표
23,노원구,공릉동,617-3외2,태릉입구역,270,75,195,동일로 1000,127.07552 ,37.61949 ,정좌표
24,도봉구,쌍문동,103-6,쌍문역,288,70,218,도봉로 445,127.03259 ,37.64587 ,정좌표
